"","text","user_id","screen_name","description","created_at"
"1","“There was a brief outage for ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-16 00:38:03
"2","The patch has been applied and CI runners are now properly respecting job tags. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-12 23:48:32
"3","Our upstream provider has resolved the connectivity issues. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-12 23:21:16
"4","Some users may have issues connecting to GitLab due to an issue with our upstream provider's IP addresses being routed to other service providers. More info can be found at ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-12 22:32:24
"5","With the deploy of GitLab 11.5.0 RC4 to ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-12 21:15:26
"6","Performance of ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-08 16:01:08
"7","We found a bottleneck in our HAProxy fleet and have added capacity there.   We are now monitoring on ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-08 14:03:02
"8","We are investigating slow clones over ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-11-08 13:51:20
"9","The registry has been migrated successfully to GCS. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-27 19:57:07
"10","The transfer of files from S3 to GCS is almost finished, but has taken a bit longer than expected. We expect the registry will be back to read-write in 30 minutes. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-27 19:00:43
"11","The container registry will be set read-only for the migration from S3 to GCS. Please see ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-27 17:01:58
"12","REMINDER: The container registry will be going read-only in 12 minutes at 17:00 UTC. Please see ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-27 16:48:46
"13","The fix for the ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-26 15:56:56
"14","We are starting to roll out the patch for the git ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-26 15:48:24
"15","We have applied a patch to our canary for the git over ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-26 15:23:23
"16","We are testing a fix which should resolve the ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-26 15:01:05
"17","The root cause of CI Queue performance problems was resolved and the system is back now to normal capacity. We will continue to monitor it, but CI jobs should be processed without additional slowness. For more information see ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-26 14:10:55
"18","We have identified an issue which is causing all Git HTTPS authentication for users using private access tokens - including all 2FA users - to fail. Apologies for any inconvenience. We are urgently working on a fix. Please switch to Git SSH or passw... ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-26 12:32:38
"19","Background processing performance should be back to normal now ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-24 20:46:14
"20","The load on CI Queues went down and the system is operable again since last 2 hours. We've also prepared and are validating the fix for the issue. We're still monitoring the system until the issue will be finally resolved. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-24 19:33:14
"21","While enabling a feature to ensure better transaction recovery in an emergency  failure state, some background queues have started to grow in size. We are investigating why and rolling back the change. Users may notice some processes being delayed. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-24 18:52:08
"22","We've identified the root cause of CI queues performance problem. We're now working on a fix. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-24 12:59:05
"23","At this moment the performance problems of CI Queues settled down. We'll continue to monitoring it as well as investigating to find out the root cause of the issue. We're sorry for any inconveniences. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-23 20:35:15
"24","The container registry will be set to read only from 2018-10-27 17:00 UTC to 19:00 UTC as we migrate the registry data from S3 to Google Cloud Storage. Please see ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-23 19:04:26
"25","We're investigating problems with CI Queue performance","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-23 12:48:17
"26","The increased error rates on ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-17 09:34:58
"27","We are investigating increased error rates and slow connections on ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-17 08:49:29
"28","The CI Jobs queue performance problem has been resolved and the system is functionally normally. For more information see ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-15 18:31:05
"29","We've found the reason of CI Jobs queue performance problems and will start applying the solution in a moment. Please follow ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-15 10:35:01
"30","We're investigating problems with CI Jobs queue performance","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-15 08:51:58
"31","From 13:49 to 14:36 UTC, we observed an interruption so some users of git ssh to on ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-10-05 15:52:08
"32","We have finished our Redis maintenance window and all services are operating as normal. ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-29 09:33:08
"33","We are starting maintenance of our redis fleet which may result in a brief interruption of service on ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-29 08:00:02
"34","There was a brief site degradation due to database maintenance. We are currently investigating but do not expect to see any further impact. For more information see ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-19 12:59:10
"35","CI queue performance should be back to normal now","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-14 16:35:41
"36","We're investigating slowdown of CI queue handling","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-14 15:53:07
"37","Error rates related to pull mirrors have returned to normal levels, we are closely monitoring and will update ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-10 15:47:39
"38","We are currently investigating increased error rates with pull mirrors on ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-10 15:22:18
"39","We have resolved the issue related to emails. Thank you for your patience.","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-06 19:44:32
"40","We have discovered that emails were failing to be delivered. The root cause has been found and we are working to fix the issue.","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-06 19:19:52
"41","We are investigating an issue with emails. We apologize for any inconvenience.","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-09-06 19:01:17
"42","We rolled back the change that caused the MR diffs issue, diffs are back in working order. For more info, issue is in ","1113698070","gitlabstatus","Follow for updates about the status of https://t.co/KqLprgvTxT. Find all other tweets about the project and company @gitlab.",2018-08-28 14:06:11
