"","text","name","location","description"
"1","[status] Investigating: Builds seem to be not starting on https://t.co/MqKqdXcPzu (open source). We are investigating the issue. https://t.co/iewlsWAJTY","Almudena García","","Apasionada de la informática y el software libre, especializada en GNU/Linux y sistemas operativos libres, y joven cibervoluntaria"
"2","[status] Investigating: Builds seem to be not starting on https://t.co/MqKqdXcPzu (open source). We are investigating the issue. https://t.co/iewlsWAJTY","JJ Merelo","Granada","Profesor en la  Escuela Técnica Superior de Ingeniería Informática de la Universidad de Granada. <U+0001F393><U+0001F1EE><U+0001F1F8><U+0001F4D8><U+0001F468><U+0001F3FE><U+200D><U+0001F4BB>"
"3","@johnny_reilly @travisci @traviscistatus i have issues too…. @travisci","Vanya","","rooster. <U+0436><U+0443><U+0442><U+043A><U+0430><U+044F> <U+0442><U+0432><U+0430><U+0440><U+044C>, <U+043B><U+044E><U+0431><U+0438><U+0442><U+0435><U+043B><U+044C><U+043D><U+0438><U+0446><U+0430> <U+0441><U+043F><U+0438><U+0440><U+0442><U+043D><U+043E><U+0433><U+043E>. I’d rather kill myself than commit suicide. <U+0414><U+0443><U+043C><U+0430><U+043B><U+0430>, <U+0443> <U+043C><U+0435><U+043D><U+044F> <U+043F><U+043E><U+0445><U+043C><U+0435><U+043B><U+044C><U+0435> <U+043F><U+043E><U+0441><U+043B><U+0435> <U+0432><U+0435><U+0447><U+0435><U+0440><U+0438><U+043D><U+043A><U+0438>, <U+043D><U+043E> <U+044D><U+0442><U+043E> <U+043E><U+043A><U+0430><U+0437><U+0430><U+043B><U+0441><U+044F> <U+0438><U+043D><U+0441><U+0443><U+043B><U+044C><U+0442>"
"4","Hey @travisci @traviscistatus! Are there problems?  I'm finding builds aren't being queued at the moment:  https://t.co/zO3wYnc1Tx","John Reilly","London / Twickenham","Dev. https://t.co/VluTYy4fl1"
"5","@traviscistatus @travisci travis seems stuck this morning ! no build seems to kick off. any issues ?","Etienne","Orléans / Paris","Coach and mentor turning IT organisation and software development teams into agile using lean, kanban, scrum, bdd."
"6","@traviscistatus the constant looks anomalous. A job is waiting for quite a while, even though the status is green https://t.co/mPSM9qNSfH","DLed","Munich, Germany","Humanism / Science / Music / Photo / Tango / Software.  Opinions in my tweets are my own and do not represent the views of my employer, past or present. d-led"
"7","@crucialfelix Indeed, we did. https://t.co/LR4dSXk0gr It should be OK now. For future reference, please follow @traviscistatus as well. Thank you!","Travis CI","Berlin, Germany","Hi! We're Travis CI, a hosted continuous integration and delivery service for your GitHub projects • Status: @traviscistatus • Travis Foundation: @travis_fnd"
"8","[status] Investigating: We're investigating possible DNS problems accessing https://t.co/Jr64j1QWkz. https://t.co/squChoXvnE","Jakub Sikora","Brighton","Web Developer, AC Milan fan:)"
"9","[status] Monitoring: As stated, on GitHub's status page (https://t.co/cFKslAKP32), webhooks delivery is still paused and, as such, we cannot trigger new builds yet. https://t.co/hPVKXct2Gk","<U+0643><U+0645><U+062A><U+0631><U+0648>","<U+6ECB><U+8CC0> <U+7C73><U+539F><U+5E02>","``` $ npx kamataryo # <U+0001F41F><U+0001F421><U+0001F986><U+0001F438><U+0001F33F><U+0001F408><U+0001F4BB> ```"
"10","[status] Monitoring: As stated, on GitHub's status page (https://t.co/cFKslAKP32), webhooks delivery is still paused and, as such, we cannot trigger new builds yet. https://t.co/hPVKXct2Gk","<U+30C7><U+30D3><U+30EB><U+30DC><U+30EB><U+30B1><U+30FC><U+30CE>","Japan","<U+3053><U+3093><U+306B><U+3061><U+306F><U+3001><U+30C7><U+30D3><U+30EB><U+30DC><U+30EB><U+30B1><U+30FC><U+30CE><U+3067><U+3059><U+3002>"
"11","[status] Monitoring: As stated, on GitHub's status page (https://t.co/cFKslAKP32), webhooks delivery is still paused and, as such, we cannot trigger new builds yet. https://t.co/hPVKXct2Gk","tatane<U+0001F98A>","","<U+3088><U+304F><U+5BDD><U+307E><U+3059><U+3001>JS<U+3092><U+5C11><U+3057><U+66F8><U+304F>"
"12","[status] Monitoring: As stated, on GitHub's status page (https://t.co/cFKslAKP32), webhooks delivery is still paused and, as such, we cannot trigger new builds yet. https://t.co/hPVKXct2Gk","azu","","JavaScript<U+306A><U+4EBA><U+3067><U+3059><U+3002><U+30BB><U+30AD><U+30E5><U+30EA><U+30C6><U+30A3><U+30CD><U+30BF><U+3082><U+597D><U+304D><U+3067><U+3059><U+3002> <U+691C><U+7D22><U+3059><U+308B><U+306E><U+304C><U+597D><U+304D><U+306A><U+4EBA><U+9593><U+306A><U+306E><U+3067><U+3001>TL<U+4E0A><U+306B><U+51FA><U+3066><U+304D><U+305F><U+30EF><U+30FC><U+30C9><U+3092><U+691C><U+7D22><U+3057><U+3066><U+3044><U+308B><U+3053><U+3068><U+3082><U+3057><U+3070><U+3057><U+3070><U+3002> https://t.co/SmMgSlC5R6 <U+3068><U+3044><U+3046><U+30B5><U+30A4><U+30C8><U+3082><U+3084><U+3063><U+3066><U+3044><U+307E><U+3059><U+3002>"
"13","@traviscistatus @github now sends webhooks (with some delay). Is it now okay on your side, do you receive webhooks?","Erdin Eray","Izmir, Turkey",""
"14","@traviscistatus For those having this issue, the solution for now is to trigger your builds manually.

Or wait for Github to send webhooks. :/","Erdin Eray","Izmir, Turkey",""
"15","[status] Monitoring: We are still waiting for GitHub to restart sending webhooks for repository/commit events.  We will post an update as soon as this happens. Thank you for your patience. https://t.co/7LveXJoxWh","Alexander Morlang","Berlin","Nerd, Papa, Freifunker, Biker, Gamer. FreeBSD, Linux."
